dataset,class,is_target,model,simple_gap,fr
cifar100,96,0,original,0.19999999999999996,0.0
cifar100,96,0,unlearned,0.19500000000000006,0.0020000000000000018
cifar100,96,0,retrain,0.09000000000000008,0.95
cifar100,97,0,original,0.09999999999999998,0.0040000000000000036
cifar100,97,0,unlearned,0.06499999999999995,0.0040000000000000036
cifar100,97,0,retrain,0.030000000000000027,0.88
cifar100,98,0,original,0.24,0.0
cifar100,98,0,unlearned,0.2300000000000001,0.0
cifar100,98,0,retrain,0.02999999999999997,1.0
cifar100,99,0,original,0.1100000000000001,0.02200000000000002
cifar100,99,0,unlearned,0.08999999999999997,0.02200000000000002
cifar100,99,0,retrain,0.05499999999999994,1.0
